title,director,country,release_year,rating,duration,listed_in,description
For Greater Glory,Dean Wright,Mexico,2012,,145 min,"Dramas, International Movies","When a vicious war against Catholics is waged in Mexico in the 1920s, a retired general joins the militia fighting to preserve religious freedom."
The Gift,Sam Raimi,United States,2000,4,112 min,"Dramas, Thrillers","When the authorities find a drowned woman's body, a small-town psychic starts having visions of who committed the murder."
Furthest Witness,Adam Del Giudice,"United States, United Kingdom",2017,5,88 min,"Dramas, Thrillers","Kyle helps people disappear, but when a crazed killer starts hunting down his latest client, he has to decide what he's willing to do to keep her safe."
6-5=2,Bharat Jain,India,2014,9,103 min,"Horror Movies, International Movies, Thrillers","Six friends decide to undertake a grueling mountain trek, only to find that the difficulties in store for them are not merely physical."
14 Cameras,"Scott Hussion, Seth Fuller",United States,2018,,89 min,"Horror Movies, Thrillers","Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy."
Small Town Crime,"Ian Nelms, Eshom Nelms",United States,2017,7,92 min,Thrillers,"When a disgraced ex-cop discovers a dying woman, he's compelled to track down her killer – an act of self-redemption that takes him down a dark path."
Street Flow,"Leïla Sy, Kery James",France,2019,,96 min,"Dramas, International Movies","Three brothers – a gangster, a scholar and an impressionable teen – learn hard lessons in the gritty suburbs while searching for the means to survive."
The Squid and the Whale,Noah Baumbach,United States,2005,,81 min,"Comedies, Dramas, Independent Movies",This insightful drama looks at the crumbling marriage between a self-centered novelist – whose career is waning – and his up-and-coming writer wife.
John & Yoko: Above Us Only Sky,Michael Epstein,United Kingdom,2018,5,90 min,"Documentaries, Music & Musicals","Featuring interviews and never-before-seen footage, this film tells the story behind John Lennon and Yoko Ono’s seminal 1971 album, “Imagine.”"
Dabbe 6: The Return,Hasan Karacadağ,Turkey,2015,5,153 min,"Horror Movies, International Movies","A cardiologist tries to pinpoint the cause of her mother's sudden death as her sister, who witnessed it, claims malevolent demons are at play."
Monster High: Fright On!,"Victor Dal Chele, Alfred Gimeno",United States,2011,,46 min,Children & Family Movies,"Big changes are afoot at Monster High when administrators announce a merger with two other schools, designed to bring all monsters together."
GHOUL,Patrick Graham,India,2018,,1 Season,"International TV Shows, TV Dramas, TV Horror","When a new prisoner at a military detention center exhibits eerie behavior, a young interrogator’s search for the truth becomes a battle for survival."
Clinical,Alistair Legrand,United States,2017,5,104 min,"Horror Movies, Thrillers",A psychiatrist is plagued by flashbacks to a terrifying attack as she treats a new patient who was horribly disfigured in an accident.
The Pirates of Somalia,Bryan Buckley,"Somalia, Kenya, Sudan, South Africa, United States",2017,5,118 min,Dramas,An aspiring journalist travels to Somalia in hopes of making a name for himself by covering dangerous pirates and hijackers.
Outside In,Lynn Shelton,United States,2018,,110 min,"Dramas, Independent Movies","After serving time for a crime he didn’t commit, a 38-year-old man forms a complicated, life-altering bond with the woman who advocated for his early release."
Dr. Seuss' The Cat in the Hat,Bo Welch,United States,2003,,82 min,"Children & Family Movies, Comedies","While Mom is away, a bored little boy and girl are visited by the Cat in the Hat, who proceeds to turn the house into the ""mother of all messes."""
Mater,Pablo D'Alo Abba,Argentina,2017,,80 min,"Dramas, Independent Movies, International Movies",A single man in his 30s overwhelmed by his domineering mother meets a lesbian couple willing to go to extreme lengths to have a child.
De Film van Dylan Haegens,"Dylan Haegens, Bas van Teylingen",Netherlands,2018,,81 min,"Comedies, International Movies",A YouTuber becomes obsessed with figuring out how his copycat archnemesis manages to steal all of his ideas.
Lavell Crawford: Can a Brother Get Some Love?,Michael Drumm,United States,2011,10,81 min,Stand-Up Comedy,"""Last Comic Standing"" runner-up Lavell Crawford lords over a hometown crowd at St. Louis's Orpheum Theatre, raking in the love – and the laughs."
R.L. Stine's Mostly Ghostly,Richard Correll,United States,2008,,98 min,"Children & Family Movies, Comedies","After discovering a pair of young ghosts, a nebbish 11-year-old agrees to help the sibling spirits solve the mystery surrounding their demise."
